rocket_id,keff,lat,Pi,Kp,Kd,Kd_Kp_ratio,sr
R6937,7.954757748494814,3,71.59281973645334,0.0989159441392082,0.57,5.762468376158014,0.6666666666666666
R6937,7.954757748494814,3,71.59281973645334,0.1391279701103562,0.013912797011035621,0.1,0.06666666666666667
R6937,7.954757748494814,3,71.59281973645334,0.1391279701103562,0.04452095043531399,0.32,0.13333333333333333
R6937,7.954757748494814,3,71.59281973645334,0.1391279701103562,0.1391279701103562,1.0,0.4666666666666667
R6937,7.954757748494814,3,71.59281973645334,0.1391279701103562,0.43964438554872565,3.16,0.6666666666666666
R6937,7.954757748494814,3,71.59281973645334,0.1391279701103562,0.57,4.096947576737275,0.6666666666666666
R6937,7.954757748494814,3,71.59281973645334,0.19568728009901917,0.01956872800990192,0.10000000000000002,0.13333333333333333
R6937,7.954757748494814,3,71.59281973645334,0.19568728009901917,0.06261992963168614,0.32,0.26666666666666666
R6937,7.954757748494814,3,71.59281973645334,0.19568728009901917,0.19568728009901917,1.0,0.4666666666666667
R6937,7.954757748494814,3,71.59281973645334,0.19568728009901917,0.57,2.912810683001858,0.7333333333333333
R6937,7.954757748494814,3,71.59281973645334,0.19568728009901917,0.6183718051129006,3.16,0.7333333333333333
R6937,7.954757748494814,3,71.59281973645334,0.2752394903927485,0.02752394903927485,0.1,0.13333333333333333
R6937,7.954757748494814,3,71.59281973645334,0.2752394903927485,0.08807663692567952,0.32,0.26666666666666666
R6937,7.954757748494814,3,71.59281973645334,0.2752394903927485,0.2752394903927485,1.0,0.5333333333333333
R6937,7.954757748494814,3,71.59281973645334,0.2752394903927485,0.57,2.070923758747874,0.8
R6937,7.954757748494814,3,71.59281973645334,0.2752394903927485,0.8697567896410853,3.16,0.8666666666666667
R6937,7.954757748494814,3,71.59281973645334,0.38713184134056344,0.03871318413405635,0.1,0.2
R6937,7.954757748494814,3,71.59281973645334,0.38713184134056344,0.12388218922898031,0.32,0.4666666666666667
R6937,7.954757748494814,3,71.59281973645334,0.38713184134056344,0.38713184134056344,1.0,0.8
R6937,7.954757748494814,3,71.59281973645334,0.38713184134056344,0.57,1.472366618116968,0.8666666666666667
R6937,7.954757748494814,3,71.59281973645334,0.38713184134056344,1.2233366186361805,3.16,0.6
R6937,7.954757748494814,3,71.59281973645334,0.5445114811318649,0.05445114811318649,0.1,0.3333333333333333
R6937,7.954757748494814,3,71.59281973645334,0.5445114811318649,0.17424367396219675,0.32,0.5333333333333333
R6937,7.954757748494814,3,71.59281973645334,0.5445114811318649,0.5445114811318649,1.0,0.8666666666666667
R6937,7.954757748494814,3,71.59281973645334,0.5445114811318649,0.57,1.0468098832648167,0.8666666666666667
R6937,7.954757748494814,3,71.59281973645334,0.5445114811318649,1.7206562803766932,3.16,0.6
R6937,7.954757748494814,3,71.59281973645334,0.7658702318510398,0.07658702318510398,0.1,0.6666666666666666
R6937,7.954757748494814,3,71.59281973645334,0.7658702318510398,0.24507847419233272,0.32,0.7333333333333333
R6937,7.954757748494814,3,71.59281973645334,0.7658702318510398,0.57,0.7442514100885746,0.9333333333333333
R6937,7.954757748494814,3,71.59281973645334,0.7658702318510398,0.7658702318510398,1.0,0.9333333333333333
R6937,7.954757748494814,3,71.59281973645334,0.7658702318510398,2.4201499326492857,3.16,0.13333333333333333
R6937,7.954757748494814,3,71.59281973645334,1.0772173450159415,0.10772173450159415,0.1,0.8
R6937,7.954757748494814,3,71.59281973645334,1.0772173450159415,0.34470955040510126,0.32,0.8666666666666667
R6937,7.954757748494814,3,71.59281973645334,1.0772173450159415,0.57,0.5291411270318569,0.9333333333333333
R6937,7.954757748494814,3,71.59281973645334,1.0772173450159415,1.0772173450159415,1.0,0.9333333333333333
R6937,7.954757748494814,3,71.59281973645334,1.0772173450159415,3.404006810250375,3.16,0.4
R6937,7.954757748494814,3,71.59281973645334,1.515135541433198,0.1515135541433198,0.1,0.8
R6937,7.954757748494814,3,71.59281973645334,1.515135541433198,0.48484337325862337,0.32,1.0
R6937,7.954757748494814,3,71.59281973645334,1.515135541433198,0.57,0.37620396618828256,1.0
R6937,7.954757748494814,3,71.59281973645334,1.515135541433198,1.515135541433198,1.0,0.8
R6937,7.954757748494814,3,71.59281973645334,1.515135541433198,4.787828310928906,3.16,0.4666666666666667
R6937,7.954757748494814,3,71.59281973645334,2.1310794145076613,0.21310794145076614,0.1,0.9333333333333333
R6937,7.954757748494814,3,71.59281973645334,2.1310794145076613,0.57,0.26747008868821803,1.0
R6937,7.954757748494814,3,71.59281973645334,2.1310794145076613,0.6819454126424516,0.32,1.0
R6937,7.954757748494814,3,71.59281973645334,2.1310794145076613,2.1310794145076613,1.0,0.8
R6937,7.954757748494814,3,71.59281973645334,2.1310794145076613,6.7342109498442095,3.16,0.26666666666666666
R6937,7.954757748494814,3,71.59281973645334,2.997421251594704,0.2997421251594704,0.1,0.9333333333333333
R6937,7.954757748494814,3,71.59281973645334,2.997421251594704,0.57,0.19016346124080677,1.0
R6937,7.954757748494814,3,71.59281973645334,2.997421251594704,0.9591748005103052,0.32,1.0
R6937,7.954757748494814,3,71.59281973645334,2.997421251594704,2.997421251594704,1.0,0.7333333333333333
R6937,7.954757748494814,3,71.59281973645334,2.997421251594704,9.471851155039264,3.16,0.2
R6937,7.954757748494814,3,71.59281973645334,4.2159546464331275,0.42159546464331277,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,4.2159546464331275,0.57,0.13520069540649438,1.0
R6937,7.954757748494814,3,71.59281973645334,4.2159546464331275,1.3491054868586008,0.32,0.9333333333333333
R6937,7.954757748494814,3,71.59281973645334,4.2159546464331275,4.2159546464331275,1.0,0.7333333333333333
R6937,7.954757748494814,3,71.59281973645334,4.2159546464331275,13.322416682728683,3.16,0.2
R6937,7.954757748494814,3,71.59281973645334,5.929855061688346,0.57,0.09612376593867537,1.0
R6937,7.954757748494814,3,71.59281973645334,5.929855061688346,0.5929855061688346,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,5.929855061688346,1.8975536197402707,0.32,1.0
R6937,7.954757748494814,3,71.59281973645334,5.929855061688346,5.929855061688346,1.0,0.5333333333333333
R6937,7.954757748494814,3,71.59281973645334,5.929855061688346,18.738341994935173,3.16,0.4666666666666667
R6937,7.954757748494814,3,71.59281973645334,8.340502686000294,0.57,0.06834120453635927,1.0
R6937,7.954757748494814,3,71.59281973645334,8.340502686000294,0.8340502686000294,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,8.340502686000294,2.668960859520094,0.32,0.9333333333333333
R6937,7.954757748494814,3,71.59281973645334,8.340502686000294,8.340502686000294,1.0,0.3333333333333333
R6937,7.954757748494814,3,71.59281973645334,8.340502686000294,26.35598848776093,3.16,0.6
R6937,7.954757748494814,3,71.59281973645334,11.731144240711311,0.57,0.04858861065077471,1.0
R6937,7.954757748494814,3,71.59281973645334,11.731144240711311,1.173114424071131,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,11.731144240711311,3.7539661570276195,0.32,0.8666666666666667
R6937,7.954757748494814,3,71.59281973645334,11.731144240711311,11.731144240711311,1.0,0.4
R6937,7.954757748494814,3,71.59281973645334,11.731144240711311,32.0,2.7277816505698085,0.2
R6937,7.954757748494814,3,71.59281973645334,16.50017395562641,0.57,0.034545090344676954,1.0
R6937,7.954757748494814,3,71.59281973645334,16.50017395562641,1.650017395562641,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,16.50017395562641,5.280055665800451,0.32,0.8666666666666667
R6937,7.954757748494814,3,71.59281973645334,16.50017395562641,16.50017395562641,1.0,0.3333333333333333
R6937,7.954757748494814,3,71.59281973645334,16.50017395562641,32.0,1.9393734930344957,0.4
R6937,7.954757748494814,3,71.59281973645334,23.207944168063882,0.57,0.024560555466363484,1.0
R6937,7.954757748494814,3,71.59281973645334,23.207944168063882,2.3207944168063883,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,23.207944168063882,7.426542133780442,0.32,0.8666666666666667
R6937,7.954757748494814,3,71.59281973645334,23.207944168063882,23.207944168063882,1.0,0.4666666666666667
R6937,7.954757748494814,3,71.59281973645334,23.207944168063882,32.0,1.3788382016204064,0.4666666666666667
R6937,7.954757748494814,3,71.59281973645334,32.642605705639234,0.57,0.01746184128620371,1.0
R6937,7.954757748494814,3,71.59281973645334,32.642605705639234,3.2642605705639234,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,32.642605705639234,10.445633825804554,0.32,0.7333333333333333
R6937,7.954757748494814,3,71.59281973645334,32.642605705639234,32.0,0.9803138967693311,0.6666666666666666
R6937,7.954757748494814,3,71.59281973645334,45.912714178281405,0.57,0.012414861769806529,1.0
R6937,7.954757748494814,3,71.59281973645334,45.912714178281405,4.591271417828141,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,45.912714178281405,14.69206853705005,0.32,0.8
R6937,7.954757748494814,3,71.59281973645334,45.912714178281405,32.0,0.6969746958487876,0.5333333333333333
R6937,7.954757748494814,3,71.59281973645334,64.57748325074412,0.57,0.008826605982564857,1.0
R6937,7.954757748494814,3,71.59281973645334,64.57748325074412,6.457748325074412,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,64.57748325074412,20.66479464023812,0.32,0.8666666666666667
R6937,7.954757748494814,3,71.59281973645334,64.57748325074412,32.0,0.49552875691592185,0.7333333333333333
R6937,7.954757748494814,3,71.59281973645334,90.82998941876633,0.57,0.00627546038095467,1.0
R6937,7.954757748494814,3,71.59281973645334,90.82998941876633,9.082998941876633,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,90.82998941876633,29.065596614005226,0.32,0.6666666666666666
R6937,7.954757748494814,3,71.59281973645334,90.82998941876633,32.0,0.3523065477027183,0.7333333333333333
R6937,7.954757748494814,3,71.59281973645334,127.75485451762533,0.57,0.004461669986257638,1.0
R6937,7.954757748494814,3,71.59281973645334,127.75485451762533,12.775485451762535,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,127.75485451762533,32.0,0.2504797185267446,0.6666666666666666
R6937,7.954757748494814,3,71.59281973645334,179.69068319023125,0.57,0.0031721177185161237,1.0
R6937,7.954757748494814,3,71.59281973645334,179.69068319023125,17.969068319023126,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,179.69068319023125,32.0,0.17808380174125607,0.8666666666666667
R6937,7.954757748494814,3,71.59281973645334,252.73984105956174,0.57,0.0022552835263739495,0.4666666666666667
R6937,7.954757748494814,3,71.59281973645334,252.73984105956174,25.273984105956174,0.1,1.0
R6937,7.954757748494814,3,71.59281973645334,252.73984105956174,32.0,0.12661240849818667,0.9333333333333333
R6937,7.954757748494814,3,71.59281973645334,355.4854716156215,0.57,0.001603441055999971,0.13333333333333333
R6937,7.954757748494814,3,71.59281973645334,355.4854716156215,32.0,0.09001774349473524,1.0
R6937,7.954757748494814,3,71.59281973645334,500.0,0.57,0.00114,0.0
R6937,7.954757748494814,3,71.59281973645334,500.0,32.0,0.064,1.0
R5359,7.972240501628969,4,127.5558480260635,0.05,0.01,0.19999999999999998,0.2
R5359,7.972240501628969,4,127.5558480260635,0.05,0.016,0.32,0.2
R5359,7.972240501628969,4,127.5558480260635,0.05,0.05,1.0,0.2
R5359,7.972240501628969,4,127.5558480260635,0.05,0.15800000000000003,3.1600000000000006,0.6
R5359,7.972240501628969,4,127.5558480260635,0.05,0.57,11.399999999999999,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.07032636210526184,0.01,0.14219418864624872,0.2
R5359,7.972240501628969,4,127.5558480260635,0.07032636210526184,0.02250443587368379,0.32,0.2
R5359,7.972240501628969,4,127.5558480260635,0.07032636210526184,0.07032636210526184,1.0,0.4
R5359,7.972240501628969,4,127.5558480260635,0.07032636210526184,0.22223130425262744,3.16,0.6666666666666666
R5359,7.972240501628969,4,127.5558480260635,0.07032636210526184,0.57,8.105068752836177,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.0989159441392082,0.01,0.10109593642382482,0.2
R5359,7.972240501628969,4,127.5558480260635,0.0989159441392082,0.031653102124546625,0.32,0.2
R5359,7.972240501628969,4,127.5558480260635,0.0989159441392082,0.0989159441392082,1.0,0.4
R5359,7.972240501628969,4,127.5558480260635,0.0989159441392082,0.31257438347989797,3.16,0.6666666666666666
R5359,7.972240501628969,4,127.5558480260635,0.0989159441392082,0.57,5.762468376158014,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.1391279701103562,0.013912797011035621,0.1,0.2
R5359,7.972240501628969,4,127.5558480260635,0.1391279701103562,0.04452095043531399,0.32,0.2
R5359,7.972240501628969,4,127.5558480260635,0.1391279701103562,0.1391279701103562,1.0,0.6666666666666666
R5359,7.972240501628969,4,127.5558480260635,0.1391279701103562,0.43964438554872565,3.16,0.9333333333333333
R5359,7.972240501628969,4,127.5558480260635,0.1391279701103562,0.57,4.096947576737275,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.19568728009901917,0.01956872800990192,0.10000000000000002,0.2
R5359,7.972240501628969,4,127.5558480260635,0.19568728009901917,0.06261992963168614,0.32,0.4
R5359,7.972240501628969,4,127.5558480260635,0.19568728009901917,0.19568728009901917,1.0,0.7333333333333333
R5359,7.972240501628969,4,127.5558480260635,0.19568728009901917,0.57,2.912810683001858,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.19568728009901917,0.6183718051129006,3.16,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.2752394903927485,0.02752394903927485,0.1,0.4
R5359,7.972240501628969,4,127.5558480260635,0.2752394903927485,0.08807663692567952,0.32,0.6666666666666666
R5359,7.972240501628969,4,127.5558480260635,0.2752394903927485,0.2752394903927485,1.0,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.2752394903927485,0.57,2.070923758747874,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.2752394903927485,0.8697567896410853,3.16,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.38713184134056344,0.03871318413405635,0.1,0.3333333333333333
R5359,7.972240501628969,4,127.5558480260635,0.38713184134056344,0.12388218922898031,0.32,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.38713184134056344,0.38713184134056344,1.0,0.9333333333333333
R5359,7.972240501628969,4,127.5558480260635,0.38713184134056344,0.57,1.472366618116968,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.38713184134056344,1.2233366186361805,3.16,0.4666666666666667
R5359,7.972240501628969,4,127.5558480260635,0.5445114811318649,0.05445114811318649,0.1,0.4
R5359,7.972240501628969,4,127.5558480260635,0.5445114811318649,0.17424367396219675,0.32,0.9333333333333333
R5359,7.972240501628969,4,127.5558480260635,0.5445114811318649,0.5445114811318649,1.0,1.0
R5359,7.972240501628969,4,127.5558480260635,0.5445114811318649,0.57,1.0468098832648167,1.0
R5359,7.972240501628969,4,127.5558480260635,0.5445114811318649,1.7206562803766932,3.16,0.4
R5359,7.972240501628969,4,127.5558480260635,0.7658702318510398,0.07658702318510398,0.1,0.7333333333333333
R5359,7.972240501628969,4,127.5558480260635,0.7658702318510398,0.24507847419233272,0.32,1.0
R5359,7.972240501628969,4,127.5558480260635,0.7658702318510398,0.57,0.7442514100885746,1.0
R5359,7.972240501628969,4,127.5558480260635,0.7658702318510398,0.7658702318510398,1.0,0.9333333333333333
R5359,7.972240501628969,4,127.5558480260635,0.7658702318510398,2.4201499326492857,3.16,0.6
R5359,7.972240501628969,4,127.5558480260635,1.0772173450159415,0.10772173450159415,0.1,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,1.0772173450159415,0.34470955040510126,0.32,1.0
R5359,7.972240501628969,4,127.5558480260635,1.0772173450159415,0.57,0.5291411270318569,1.0
R5359,7.972240501628969,4,127.5558480260635,1.0772173450159415,1.0772173450159415,1.0,0.7333333333333333
R5359,7.972240501628969,4,127.5558480260635,1.0772173450159415,3.404006810250375,3.16,0.4666666666666667
R5359,7.972240501628969,4,127.5558480260635,1.515135541433198,0.1515135541433198,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,1.515135541433198,0.48484337325862337,0.32,1.0
R5359,7.972240501628969,4,127.5558480260635,1.515135541433198,0.57,0.37620396618828256,1.0
R5359,7.972240501628969,4,127.5558480260635,1.515135541433198,1.515135541433198,1.0,0.7333333333333333
R5359,7.972240501628969,4,127.5558480260635,1.515135541433198,4.787828310928906,3.16,0.2
R5359,7.972240501628969,4,127.5558480260635,2.1310794145076613,0.21310794145076614,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,2.1310794145076613,0.57,0.26747008868821803,1.0
R5359,7.972240501628969,4,127.5558480260635,2.1310794145076613,0.6819454126424516,0.32,1.0
R5359,7.972240501628969,4,127.5558480260635,2.1310794145076613,2.1310794145076613,1.0,0.6
R5359,7.972240501628969,4,127.5558480260635,2.1310794145076613,6.7342109498442095,3.16,0.2
R5359,7.972240501628969,4,127.5558480260635,2.997421251594704,0.2997421251594704,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,2.997421251594704,0.57,0.19016346124080677,1.0
R5359,7.972240501628969,4,127.5558480260635,2.997421251594704,0.9591748005103052,0.32,1.0
R5359,7.972240501628969,4,127.5558480260635,2.997421251594704,2.997421251594704,1.0,0.5333333333333333
R5359,7.972240501628969,4,127.5558480260635,2.997421251594704,9.471851155039264,3.16,0.2
R5359,7.972240501628969,4,127.5558480260635,4.2159546464331275,0.42159546464331277,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,4.2159546464331275,0.57,0.13520069540649438,1.0
R5359,7.972240501628969,4,127.5558480260635,4.2159546464331275,1.3491054868586008,0.32,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,4.2159546464331275,4.2159546464331275,1.0,0.3333333333333333
R5359,7.972240501628969,4,127.5558480260635,4.2159546464331275,13.322416682728683,3.16,0.2
R5359,7.972240501628969,4,127.5558480260635,5.929855061688346,0.57,0.09612376593867537,1.0
R5359,7.972240501628969,4,127.5558480260635,5.929855061688346,0.5929855061688346,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,5.929855061688346,1.8975536197402707,0.32,0.8666666666666667
R5359,7.972240501628969,4,127.5558480260635,5.929855061688346,5.929855061688346,1.0,0.26666666666666666
R5359,7.972240501628969,4,127.5558480260635,5.929855061688346,18.738341994935173,3.16,0.4
R5359,7.972240501628969,4,127.5558480260635,8.340502686000294,0.57,0.06834120453635927,1.0
R5359,7.972240501628969,4,127.5558480260635,8.340502686000294,0.8340502686000294,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,8.340502686000294,2.668960859520094,0.32,0.8
R5359,7.972240501628969,4,127.5558480260635,8.340502686000294,8.340502686000294,1.0,0.26666666666666666
R5359,7.972240501628969,4,127.5558480260635,8.340502686000294,26.35598848776093,3.16,0.26666666666666666
R5359,7.972240501628969,4,127.5558480260635,11.731144240711311,0.57,0.04858861065077471,1.0
R5359,7.972240501628969,4,127.5558480260635,11.731144240711311,1.173114424071131,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,11.731144240711311,3.7539661570276195,0.32,0.8
R5359,7.972240501628969,4,127.5558480260635,11.731144240711311,11.731144240711311,1.0,0.4666666666666667
R5359,7.972240501628969,4,127.5558480260635,11.731144240711311,32.0,2.7277816505698085,0.26666666666666666
R5359,7.972240501628969,4,127.5558480260635,16.50017395562641,0.57,0.034545090344676954,1.0
R5359,7.972240501628969,4,127.5558480260635,16.50017395562641,1.650017395562641,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,16.50017395562641,5.280055665800451,0.32,0.5333333333333333
R5359,7.972240501628969,4,127.5558480260635,16.50017395562641,16.50017395562641,1.0,0.4
R5359,7.972240501628969,4,127.5558480260635,16.50017395562641,32.0,1.9393734930344957,0.26666666666666666
R5359,7.972240501628969,4,127.5558480260635,23.207944168063882,0.57,0.024560555466363484,1.0
R5359,7.972240501628969,4,127.5558480260635,23.207944168063882,2.3207944168063883,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,23.207944168063882,7.426542133780442,0.32,0.5333333333333333
R5359,7.972240501628969,4,127.5558480260635,23.207944168063882,23.207944168063882,1.0,0.26666666666666666
R5359,7.972240501628969,4,127.5558480260635,23.207944168063882,32.0,1.3788382016204064,0.13333333333333333
R5359,7.972240501628969,4,127.5558480260635,32.642605705639234,0.57,0.01746184128620371,1.0
R5359,7.972240501628969,4,127.5558480260635,32.642605705639234,3.2642605705639234,0.1,0.9333333333333333
R5359,7.972240501628969,4,127.5558480260635,32.642605705639234,10.445633825804554,0.32,0.3333333333333333
R5359,7.972240501628969,4,127.5558480260635,32.642605705639234,32.0,0.9803138967693311,0.5333333333333333
R5359,7.972240501628969,4,127.5558480260635,45.912714178281405,0.57,0.012414861769806529,1.0
R5359,7.972240501628969,4,127.5558480260635,45.912714178281405,4.591271417828141,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,45.912714178281405,14.69206853705005,0.32,0.4
R5359,7.972240501628969,4,127.5558480260635,45.912714178281405,32.0,0.6969746958487876,0.4
R5359,7.972240501628969,4,127.5558480260635,64.57748325074412,0.57,0.008826605982564857,1.0
R5359,7.972240501628969,4,127.5558480260635,64.57748325074412,6.457748325074412,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,64.57748325074412,20.66479464023812,0.32,0.6666666666666666
R5359,7.972240501628969,4,127.5558480260635,64.57748325074412,32.0,0.49552875691592185,0.2
R5359,7.972240501628969,4,127.5558480260635,90.82998941876633,0.57,0.00627546038095467,1.0
R5359,7.972240501628969,4,127.5558480260635,90.82998941876633,9.082998941876633,0.1,0.9333333333333333
R5359,7.972240501628969,4,127.5558480260635,90.82998941876633,29.065596614005226,0.32,0.6666666666666666
R5359,7.972240501628969,4,127.5558480260635,90.82998941876633,32.0,0.3523065477027183,0.6666666666666666
R5359,7.972240501628969,4,127.5558480260635,127.75485451762533,0.57,0.004461669986257638,1.0
R5359,7.972240501628969,4,127.5558480260635,127.75485451762533,12.775485451762535,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,127.75485451762533,32.0,0.2504797185267446,0.8
R5359,7.972240501628969,4,127.5558480260635,179.69068319023125,0.57,0.0031721177185161237,0.8
R5359,7.972240501628969,4,127.5558480260635,179.69068319023125,17.969068319023126,0.1,0.7333333333333333
R5359,7.972240501628969,4,127.5558480260635,179.69068319023125,32.0,0.17808380174125607,0.9333333333333333
R5359,7.972240501628969,4,127.5558480260635,252.73984105956174,0.57,0.0022552835263739495,0.0
R5359,7.972240501628969,4,127.5558480260635,252.73984105956174,25.273984105956174,0.1,1.0
R5359,7.972240501628969,4,127.5558480260635,252.73984105956174,32.0,0.12661240849818667,0.9333333333333333
R5359,7.972240501628969,4,127.5558480260635,355.4854716156215,0.57,0.001603441055999971,0.0
R5359,7.972240501628969,4,127.5558480260635,355.4854716156215,32.0,0.09001774349473524,1.0
R5359,7.972240501628969,4,127.5558480260635,500.0,0.57,0.00114,0.0
R5359,7.972240501628969,4,127.5558480260635,500.0,32.0,0.064,1.0
R3813,7.967842407116117,5,199.19606017790292,0.05,0.01,0.19999999999999998,0.06666666666666667
R3813,7.967842407116117,5,199.19606017790292,0.05,0.016,0.32,0.06666666666666667
R3813,7.967842407116117,5,199.19606017790292,0.05,0.05,1.0,0.13333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.05,0.15800000000000003,3.1600000000000006,0.6
R3813,7.967842407116117,5,199.19606017790292,0.05,0.57,11.399999999999999,0.7333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.07032636210526184,0.01,0.14219418864624872,0.06666666666666667
R3813,7.967842407116117,5,199.19606017790292,0.07032636210526184,0.02250443587368379,0.32,0.06666666666666667
R3813,7.967842407116117,5,199.19606017790292,0.07032636210526184,0.07032636210526184,1.0,0.26666666666666666
R3813,7.967842407116117,5,199.19606017790292,0.07032636210526184,0.22223130425262744,3.16,0.6
R3813,7.967842407116117,5,199.19606017790292,0.07032636210526184,0.57,8.105068752836177,0.7333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.0989159441392082,0.01,0.10109593642382482,0.06666666666666667
R3813,7.967842407116117,5,199.19606017790292,0.0989159441392082,0.031653102124546625,0.32,0.06666666666666667
R3813,7.967842407116117,5,199.19606017790292,0.0989159441392082,0.0989159441392082,1.0,0.3333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.0989159441392082,0.31257438347989797,3.16,0.6666666666666666
R3813,7.967842407116117,5,199.19606017790292,0.0989159441392082,0.57,5.762468376158014,0.7333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.1391279701103562,0.013912797011035621,0.1,0.06666666666666667
R3813,7.967842407116117,5,199.19606017790292,0.1391279701103562,0.04452095043531399,0.32,0.13333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.1391279701103562,0.1391279701103562,1.0,0.6666666666666666
R3813,7.967842407116117,5,199.19606017790292,0.1391279701103562,0.43964438554872565,3.16,0.8
R3813,7.967842407116117,5,199.19606017790292,0.1391279701103562,0.57,4.096947576737275,0.7333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.19568728009901917,0.01956872800990192,0.10000000000000002,0.13333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.19568728009901917,0.06261992963168614,0.32,0.4666666666666667
R3813,7.967842407116117,5,199.19606017790292,0.19568728009901917,0.19568728009901917,1.0,0.6666666666666666
R3813,7.967842407116117,5,199.19606017790292,0.19568728009901917,0.57,2.912810683001858,0.7333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.19568728009901917,0.6183718051129006,3.16,0.8
R3813,7.967842407116117,5,199.19606017790292,0.2752394903927485,0.02752394903927485,0.1,0.26666666666666666
R3813,7.967842407116117,5,199.19606017790292,0.2752394903927485,0.08807663692567952,0.32,0.6666666666666666
R3813,7.967842407116117,5,199.19606017790292,0.2752394903927485,0.2752394903927485,1.0,0.8
R3813,7.967842407116117,5,199.19606017790292,0.2752394903927485,0.57,2.070923758747874,0.8
R3813,7.967842407116117,5,199.19606017790292,0.2752394903927485,0.8697567896410853,3.16,0.4
R3813,7.967842407116117,5,199.19606017790292,0.38713184134056344,0.03871318413405635,0.1,0.3333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.38713184134056344,0.12388218922898031,0.32,0.8
R3813,7.967842407116117,5,199.19606017790292,0.38713184134056344,0.38713184134056344,1.0,0.9333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.38713184134056344,0.57,1.472366618116968,0.8666666666666667
R3813,7.967842407116117,5,199.19606017790292,0.38713184134056344,1.2233366186361805,3.16,0.6
R3813,7.967842407116117,5,199.19606017790292,0.5445114811318649,0.05445114811318649,0.1,0.3333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.5445114811318649,0.17424367396219675,0.32,0.8666666666666667
R3813,7.967842407116117,5,199.19606017790292,0.5445114811318649,0.5445114811318649,1.0,0.9333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.5445114811318649,0.57,1.0468098832648167,0.9333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.5445114811318649,1.7206562803766932,3.16,0.2
R3813,7.967842407116117,5,199.19606017790292,0.7658702318510398,0.07658702318510398,0.1,0.7333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.7658702318510398,0.24507847419233272,0.32,1.0
R3813,7.967842407116117,5,199.19606017790292,0.7658702318510398,0.57,0.7442514100885746,0.9333333333333333
R3813,7.967842407116117,5,199.19606017790292,0.7658702318510398,0.7658702318510398,1.0,0.8
R3813,7.967842407116117,5,199.19606017790292,0.7658702318510398,2.4201499326492857,3.16,0.3333333333333333
R3813,7.967842407116117,5,199.19606017790292,1.0772173450159415,0.10772173450159415,0.1,0.8666666666666667
R3813,7.967842407116117,5,199.19606017790292,1.0772173450159415,0.34470955040510126,0.32,1.0
