p_unstable,latency_steps,latency_s,gyro_noise_std,slew_code_units,best_success,best_theta_rms_deg,best_Kp,best_Kd
6,1,0.005,0.01,9,1,1.33077336801611,10,1
6,1,0.005,0.01,12,1,1.18966697831111,30,10
6,1,0.005,0.01,18,1,1.16979864048684,30,10
6,1,0.005,0.01,24,1,0.871045835132193,30,3
6,1,0.005,0.01,36,1,0.823562974415649,30,3
6,1,0.005,0.02,6,1,1.48176326469492,10,1
6,1,0.005,0.02,9,1,1.32865006627746,10,1
6,1,0.005,0.02,12,1,1.1849458891808,30,10
6,1,0.005,0.02,18,1,1.16447154428892,30,10
6,1,0.005,0.02,24,1,0.868430705146513,30,3
6,1,0.005,0.02,36,1,0.820019049936141,30,3
6,1,0.005,0.04,6,1,1.46613619579686,10,1
6,1,0.005,0.04,9,1,1.30640747909914,10,1
6,1,0.005,0.04,12,1,1.18020949897085,30,10
6,1,0.005,0.04,18,1,1.16076536070554,30,10
6,1,0.005,0.04,24,1,0.874068914853507,30,3
6,1,0.005,0.04,36,1,0.826516252248445,30,3
6,2,0.01,0.005,6,1,1.48694773753291,10,1
6,2,0.01,0.005,9,1,1.33265775330445,10,1
6,2,0.01,0.005,12,1,1.18884923368026,30,10
6,2,0.01,0.005,18,1,1.17286258818528,30,10
6,2,0.01,0.005,24,1,0.873661738088261,30,3
6,2,0.01,0.005,36,1,0.825123801400053,30,3
6,2,0.01,0.01,6,1,1.48103000050562,10,1
6,2,0.01,0.01,9,1,1.33077336801611,10,1
6,2,0.01,0.01,12,1,1.18966697831111,30,10
6,2,0.01,0.01,18,1,1.16979864048684,30,10
6,2,0.01,0.01,24,1,0.871045835132193,30,3
6,2,0.01,0.01,36,1,0.823562974415649,30,3
6,2,0.01,0.02,6,1,1.48176326469492,10,1
6,2,0.01,0.02,9,1,1.32865006627746,10,1
6,2,0.01,0.02,12,1,1.1849458891808,30,10
6,2,0.01,0.02,18,1,1.16447154428892,30,10
6,2,0.01,0.02,24,1,0.868430705146513,30,3
6,2,0.01,0.02,36,1,0.820019049936141,30,3
6,2,0.01,0.04,6,1,1.46613619579686,10,1
6,2,0.01,0.04,9,1,1.30640747909914,10,1
